,forecast,lower_ci_95,lower_ci_99,upper_ci_95,upper_ci_99
2024-02-01,422.81284318330523,418.69905515343766,418.69905515343766,426.9266312131728,426.9266312131728
2024-03-01,423.17874057817147,418.9516360229594,418.9516360229594,427.40584513338354,427.40584513338354
2024-04-01,423.2285339075601,418.8910722205008,418.8910722205008,427.56599559461944,427.56599559461944
2024-05-01,422.3806254203931,417.9355455726602,417.9355455726602,426.82570526812594,426.82570526812594
2024-06-01,420.68097641012577,416.1308230260388,416.1308230260388,425.23112979421273,425.23112979421273
2024-07-01,419.32286722691026,414.67001253500274,414.67001253500274,423.9757219188178,423.9757219188178
2024-08-01,419.5337679277301,414.78043039046986,414.78043039046986,424.2871054649903,424.2871054649903
2024-09-01,421.07168919263216,416.18136031691523,416.18136031691523,425.9620180683491,425.9620180683491
2024-10-01,422.5734607997279,417.546010386093,417.546010386093,427.60091121336285,427.60091121336285
2024-11-01,423.527312636158,418.36638260268154,418.36638260268154,428.68824266963446,428.68824266963446
2024-12-01,424.2183366946322,418.9272933231108,418.9272933231108,429.50938006615365,429.50938006615365
2025-01-01,424.7466722246307,419.32863926900905,419.32863926900905,430.1647051802523,430.1647051802523
2025-02-01,425.1908093152775,419.64869579631346,419.64869579631346,430.7329228342415,430.7329228342415
2025-03-01,425.5567067101326,419.8932304449783,419.8932304449783,431.22018297528683,431.22018297528683
2025-04-01,425.6065000395509,419.824207712554,419.824207712554,431.38879236654776,431.38879236654776
2025-05-01,424.75859155239135,418.8598759545913,418.8598759545913,430.6573071501914,430.6573071501914
2025-06-01,423.0589425421121,417.0460574731467,417.0460574731467,429.07182761107754,429.07182761107754
2025-07-01,421.70083335889626,415.5759065837898,415.5759065837898,427.82576013400273,427.82576013400273
2025-08-01,421.9117340597159,415.6767786356841,415.6767786356841,428.1466894837477,428.1466894837477
2025-09-01,423.449655324618,417.07162347859565,417.07162347859565,429.82768717064033,429.82768717064033
2025-10-01,424.95142693171385,418.4299806769297,418.4299806769297,431.472873186498,431.472873186498
2025-11-01,425.90527876814383,419.243504809265,419.243504809265,432.56705272702266,432.56705272702266
2025-12-01,426.59630282661806,419.7970967476442,419.7970967476442,433.3955089055919,433.3955089055919
2026-01-01,427.1246383566165,420.19072356556865,420.19072356556865,434.0585531476644,434.0585531476644
2026-02-01,427.5687754472633,420.5027195916483,420.5027195916483,434.6348313028783,434.6348313028783
2026-03-01,427.9346728421184,420.7389021134314,420.7389021134314,435.1304435708054,435.1304435708054
2026-04-01,427.9844661715367,420.66127783550525,420.66127783550525,435.3076545075682,435.3076545075682
2026-05-01,427.1365576843772,419.68813111025116,419.68813111025116,434.5849842585032,434.5849842585032
2026-06-01,425.43690867409794,417.8653150865317,417.8653150865317,433.00850226166415,433.00850226166415
2026-07-01,424.07879949088215,416.38601062863904,416.38601062863904,431.77158835312525,431.77158835312525
2026-08-01,424.28970019170174,416.4775960262523,416.4775960262523,432.1018043571512,432.1018043571512
2026-09-01,425.8276214566039,417.86568924174645,417.86568924174645,433.7895536714613,433.7895536714613
2026-10-01,427.3293930636996,419.2172037668031,419.2172037668031,435.44158236059616,435.44158236059616
2026-11-01,428.28324490012966,420.02353147995734,420.02353147995734,436.542958320302,436.542958320302
2026-12-01,428.9742689586039,420.56962046041747,420.56962046041747,437.3789174567903,437.3789174567903
2027-01-01,429.50260448860234,420.955478248002,420.955478248002,438.0497307292027,438.0497307292027
2027-02-01,429.94674157924914,421.2594740245199,421.2594740245199,438.6340091339784,438.6340091339784
2027-03-01,430.31263897410423,421.4874552274538,421.4874552274538,439.1378227207547,439.1378227207547
2027-04-01,430.36243230352255,421.40145474765086,421.40145474765086,439.32340985939425,439.32340985939425
2027-05-01,429.514523816363,420.41977976545485,420.41977976545485,438.60926786727117,438.60926786727117
2027-06-01,427.81487480608376,418.58830339812386,418.58830339812386,437.0414462140437,437.0414462140437
2027-07-01,426.456765622868,417.10022403213225,417.10022403213225,435.8133072136037,435.8133072136037
2027-08-01,426.66766632368757,417.182935377649,417.182935377649,436.1523972697261,436.1523972697261
2027-09-01,428.2055875885897,418.5641387385936,418.5641387385936,437.8470364385858,437.8470364385858
2027-10-01,429.70735919568546,419.908720729828,419.908720729828,439.5059976615429,439.5059976615429
2027-11-01,430.6612110321155,420.7078650800215,420.7078650800215,440.61455698420946,440.61455698420946
2027-12-01,431.3522350905897,421.2465497848052,421.2465497848052,441.4579203963742,441.4579203963742
2028-01-01,431.8805706205882,421.62480856421064,421.62480856421064,442.1363326769657,442.1363326769657
2028-02-01,432.32470771123496,421.92103359030455,421.92103359030455,442.7283818321654,442.7283818321654
2028-03-01,432.69060510609006,422.1410925546969,422.1410925546969,443.2401176574832,443.2401176574832
2028-04-01,432.7403984355084,422.0470362453698,422.0470362453698,443.433760625647,443.433760625647
2028-05-01,431.89248994834884,421.0571877012045,421.0571877012045,442.7277921954932,442.7277921954932
2028-06-01,430.1928409380696,419.2174341280962,419.2174341280962,441.168247748043,441.168247748043
2028-07-01,428.8347317548538,417.7209864590564,417.7209864590564,439.9484770506512,439.9484770506512
2028-08-01,429.0456324556734,417.7952496026554,417.7952496026554,440.2960153086914,440.2960153086914
2028-09-01,430.58355372057554,419.1696236109557,419.1696236109557,441.9974838301954,441.9974838301954
2028-10-01,432.0853253276713,420.507356621511,420.507356621511,443.66329403383156,443.66329403383156
2028-11-01,433.0391771641013,421.29946174274806,421.29946174274806,444.77889258545457,444.77889258545457
2028-12-01,433.73020122257554,421.8309375063663,421.8309375063663,445.6294649387848,445.6294649387848
2029-01-01,434.258536752574,422.20183588536213,422.20183588536213,446.3152376197859,446.3152376197859
2029-02-01,434.7026738432208,422.4905653186882,422.4905653186882,446.9147823677534,446.9147823677534
2029-03-01,435.0685712380759,422.70300803098763,422.70300803098763,447.43413444516415,447.43413444516415
2029-04-01,435.1183645674942,422.6012278245314,422.6012278245314,447.635501310457,447.635501310457
2029-05-01,434.27045608033467,421.6035594179487,421.6035594179487,446.93735274272063,446.93735274272063
2029-06-01,432.5708070700554,419.755900520687,419.755900520687,445.3857136194238,445.3857136194238
2029-07-01,431.21269788683963,418.25147152973074,418.25147152973074,444.17392424394853,444.17392424394853
2029-08-01,431.4235985876592,418.3176858963147,418.3176858963147,444.52951127900377,444.52951127900377
2029-09-01,432.96151985256137,419.68537000504665,419.68537000504665,446.2376697000761,446.2376697000761
2029-10-01,434.4632914596571,421.0164054916528,421.0164054916528,447.91017742766144,447.91017742766144
2029-11-01,435.41714329608715,421.80166204497624,421.80166204497624,449.03262454719805,449.03262454719805
